UniProt	Genes of a reaction from All instances of Reactions in Prochlorococcus marinus pastoris CCMP1986	Matches	EC-Number	Accession-1	Accession-2	Gene products (polypeptides and RNAs only)
Q7V346	PMM0245	[corrinoid adenosyltransferase] + cob(II)alamin  ->  cob(II)alamin-[corrinoid adenosyltranferase] // N-(5-phosphoribosyl)-anthranilate  ->  1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate // cob(II)inamide + [corrinoid adenosyltransferase]  ->  [corrinoid adenosyltranferase]-cob(II)inamide // cob(I)alamin-[corrinoid adenosyltranferase] + ATP  ->  adenosylcob(III)alamin-[corrinoid adenosyltranferase] + triphosphate // adenosylcob(III)alamin-[corrinoid adenosyltranferase]  ->  [corrinoid adenosyltransferase] + adenosylcobalamin // 2 ATP + [reduced flavoprotein] + 2 cob(II)alamin  ->  2 triphosphate + [oxidized flavoprotein] + 2 adenosylcobalamin + 2 H+ // 2 ATP + 2 [corrinoid adenosyltranferase]-cob(I)inamide  ->  2 adenosylcobinamide + 2 triphosphate + 2 [corrinoid adenosyltransferase] // 2 ATP + 2 cob(II)inamide + [reduced flavoprotein]  ->  2 adenosylcobinamide + 2 triphosphate + [oxidized flavoprotein] + 2 H+	EC-5.3.1.24 // EC-2.5.1.17	PMM0245	TX50_RS01270	cob(I)alamin adenosyltransferase
Q7V342	PMM0250	N-modified aminoacyl-[tRNA] + H2O  ->  uncharged tRNA + an N-modified amino acid + H+ // L-cysteinyl-[tRNACys] + H2O  =  L-cysteine + tRNACys + H+ // L-asparaginyl-tRNA<SUP>asn</SUP> hydrolase	EC-3.1.1.29	PMM0250	TX50_RS01295	aminoacyl-tRNA hydrolase
Q7V319	PMM0276	a [glycine-cleavage complex H protein] N6-aminomethyldihydrolipoyl-L-lysine + a tetrahydrofolate  <-->  a [glycine-cleavage complex H protein] N6-dihydrolipoyl-L-lysine + a 5,10-methylenetetrahydrofolate + ammonium	EC-2.1.2.10	PMM0276	TX50_RS01435	aminomethyltransferase
Q7V316	PMM0279	XTP + H2O  =  XMP + diphosphate + H+	EC-3.6.1.66	PMM0279	TX50_RS01450	Xanthosine triphosphate pyrophosphatase
Q7V315	PMM0280	8'-apo-beta-carotenal + oxygen  ->  all-trans-retinal + (2E,4E,6E)-2,6-dimethylocta-2,4,6-trienedial	EC-1.13.11.75	PMM0280	TX50_RS01455	Apocarotenoid-15,15'-oxygenase
Q7TUF7	PMM0303	tRNA precursor + 2 CTP + ATP  ->  tRNA containing a 3' CCA end + 3 diphosphate	EC-2.7.7.72	PMM0303	TX50_RS01565	CCA tRNA nucleotidyltransferase
Q7V2Y8	PMM0311	ATP + L-methionine + H2O  ->  S-adenosyl-L-methionine + phosphate + diphosphate	EC-2.5.1.6	PMM0311	TX50_RS01615	methionine adenosyltransferase
Q7V2Y1	PMM0319	L-threonine + hydrogencarbonate + ATP  ->  (L-threonylcarbamoyl)adenylate + diphosphate + H2O	EC-2.7.7.87	PMM0319	TX50_RS01655	L-threonylcarbamoyladenylate synthase
Q8GBX9	PMM0327	sucrose + H2O  ->  beta-D-fructofuranose + D-glucopyranose // inulobiose + H2O  ->  2 D-fructofuranose // a beta-D-fructofuranoside + H2O  ->  beta-D-fructofuranose + a glycoside	EC-3.2.1.26 // EC-3.2.1.48	PMM0327	TX50_RS01700	alkaline invertase
Q7V2X4	PMM0328	ring-opened 7-methylguanine in DNA + H2O  ->  2,6-diamino-4-hydroxy-5-(N-methyl)formamidopyrimidine + 5'-phospho-[DNA] + [DNA]-nucleotide-3'-phosphate + 4-oxo-2-pentenal + 2 H+ // purine base lesion in DNA + H2O  ->  [DNA]-nucleotide-3'-phosphate + 5'-phospho-[DNA] + 4-oxo-2-pentenal + a modified nucleobase // 7,8-dihydro-8-oxoguanine in DNA + H2O  ->  7,8-dihydro-8-oxoguanine + 5'-phospho-[DNA] + [DNA]-nucleotide-3'-phosphate + 4-oxo-2-pentenal + 2 H+	EC-3.2.2.23	PMM0328	TX50_RS01730	DNA-formamidopyrimidine glycosylase
Q7TUF0	PMM0342	helper component proteinase + H2O  ->  cleaved helper component proteinase + peptide	EC-3.4.22.45	PMM0342	TX50_RS01810	Possible Helper component proteinase
Q7V2V8	PMM0349	N-modified aminoacyl-[tRNA] + H2O  ->  uncharged tRNA + an N-modified amino acid + H+ // L-cysteinyl-[tRNACys] + H2O  =  L-cysteine + tRNACys + H+ // L-asparaginyl-tRNA<SUP>asn</SUP> hydrolase	EC-3.1.1.29	PMM0349	TX50_RS01850	aminoacyl-tRNA hydrolase
Q7TUE5	PMM0361	oxaloacetate + ATP  <-->  CO2 + phosphoenolpyruvate + ADP	EC-4.1.1.49	PMM0361	TX50_RS01915	Possible Phosphoenolpyruvate carboxykinase
Q7V2S5	PMM0392	transport of queosine	EC-7.2.2	PMM0392	TX50_RS02110	energy-coupling factor transporter transmembrane protein EcfT
Q7V2S0	PMM0399	2-deoxy-D-ribose 5-phosphate  =  acetaldehyde + D-glyceraldehyde 3-phosphate	EC-4.1.2.4	PMM0399	TX50_RS02145	2-deoxyribose-5-phosphate aldolase
Q7V2R7	PMM0402	a long-chain fatty acid + acyl-carrier protein + ATP  ->  long-chain fatty acyl-[acyl-carrier protein] + AMP + diphosphate	EC-6.2.1.20	PMM0402	TX50_RS02160	long-chain-fatty-acid--[acyl-carrier protein] ligase
Q7TUD7	PMM0408	S-fenclorimyl-L-cysteine + H2O  ->  6-chloro-2-phenyl-4-sulfanylpyrimidine + pyruvate + ammonium // S-fenclorimyl-L-cysteine  ->  2-aminoprop-2-enoate + 6-chloro-2-phenyl-4-sulfanylpyrimidine // S-ethyl-L-cysteine + H2O  ->  ethanethiol + pyruvate + ammonium // S-ethyl-L-cysteine  ->  2-aminoprop-2-enoate + ethanethiol // S-benzyl-L-cysteine + H2O  ->  benzyl thiol + pyruvate + ammonium // S-benzyl-L-cysteine  ->  2-aminoprop-2-enoate + benzyl thiol // S-(6-hydroxy-4-methylhexan-4-yl)-L-cysteine + H2O  ->  3-methyl-3-sulfanylhexan-1-ol + pyruvate + ammonium // S-(6-hydroxy-4-methylhexan-4-yl)-L-cysteine  ->  2-aminoprop-2-enoate + 3-methyl-3-sulfanylhexan-1-ol // S-(5-hydroxypentan-3-yl)-L-cysteine + H2O  ->  3-sulfanylpentan-1-ol + pyruvate + ammonium // S-(5-hydroxypentan-3-yl)-L-cysteine  ->  2-aminoprop-2-enoate + 3-sulfanylpentan-1-ol // S-(4-oxo-2-methylpentan-2-yl)-L-cysteine + H2O  ->  4-methyl-4-sulfanylpentan-2-one + pyruvate + ammonium // S-(4-oxo-2-methylpentan-2-yl)-L-cysteine  ->  2-aminoprop-2-enoate + 4-methyl-4-sulfanylpentan-2-one // S-(4-hydroxy-3-methylbutan-2-yl)-L-cysteine + H2O  ->  2-methyl-3-sulfanylbutan-1-ol + pyruvate + ammonium // S-(4-hydroxy-3-methylbutan-2-yl)-L-cysteine  ->  2-aminoprop-2-enoate + 2-methyl-3-sulfanylbutan-1-ol // S-(4-hydroxy-2-methylpentan-2-yl)-L-cysteine + H2O  ->  4-methyl-4-sulfanylpentan-2-ol + pyruvate + ammonium // S-(4-hydroxy-2-methylpentan-2-yl)-L-cysteine  ->  2-aminoprop-2-enoate + 4-methyl-4-sulfanylpentan-2-ol // S-(1-hydroxyhexan-3-yl)-L-cysteine + H2O  ->  3-sulfanylhexan-1-ol + pyruvate + ammonium // S-(1-hydroxyhexan-3-yl)-L-cysteine  ->  2-aminoprop-2-enoate + 3-sulfanylhexan-1-ol // O-succinyl-L-homoserine + methanethiol  <-->  L-methionine + succinate + H+ // O-succinyl-L-homoserine + L-cysteine  <-->  L-cystathionine + succinate + H+ // O-succinyl-L-homoserine + hydrogen sulfide  <-->  L-homocysteine + succinate + H+ // L-selenocystathionine + H2O  ->  seleno-L-homocysteine + pyruvate + ammonium // L-selenocystathionine  ->  2-aminoprop-2-enoate + seleno-L-homocysteine // L-djenkolate + H2O  ->  S-(sulfanylmethyl)-L-cysteine + pyruvate + ammonium // L-djenkolate  ->  S-(sulfanylmethyl)-L-cysteine + 2-aminoprop-2-enoate // L-cysteine + O-phospho-L-homoserine  ->  L-cystathionine + phosphate // L-cystathionine + H2O  ->  L-homocysteine + pyruvate + ammonium // L-cystathionine  ->  2-aminoprop-2-enoate + L-homocysteine // felinine + H2O  ->  3-methyl-3-sulfanylbutan-1-ol + pyruvate + ammonium // felinine  ->  3-methyl-3-sulfanylbutan-1-ol + 2-aminoprop-2-enoate // an S-alkyl-L-cysteine + H2O  ->  an alkyl-thiol + pyruvate + ammonium // an S-alkyl-L-cysteine  ->  an alkyl-thiol + 2-aminoprop-2-enoate // an L-cysteine-S-conjugate + H2O  ->  a thiol + pyruvate + ammonium // an L-cysteine-S-conjugate  =  a thiol + 2-aminoprop-2-enoate // 2-iminopropanoate + H2O  ->  pyruvate + ammonium // 2-aminoprop-2-enoate  ->  2-iminopropanoate // (Z)-1-(L-cystein-S-yl)-N-hydroxy-omega-(methylsulfanyl)pentan-1-imine + H2O  ->  (Z)-omega-(methylsulfanyl)pentyl-thiohydroximate + pyruvate + ammonium // (Z)-1-(L-cystein-S-yl)-N-hydroxy-omega-(methylsulfanyl)octan-1-imine + H2O  ->  (Z)-omega-(methylsulfanyl)octyl-thiohydroximate + pyruvate + ammonium // (Z)-1-(L-cystein-S-yl)-N-hydroxy-omega-(methylsulfanyl)nonan-1-imine + H2O  ->  (Z)-omega-(methylsulfanyl)nonyl-thiohydroximate + pyruvate + ammonium // (Z)-1-(L-cystein-S-yl)-N-hydroxy-omega-(methylsulfanyl)hexan-1-imine + H2O  ->  (Z)-omega-(methylsulfanyl)hexyl-thiohydroximate + pyruvate + ammonium // (Z)-1-(L-cystein-S-yl)-N-hydroxy-omega-(methylsulfanyl)heptan-1-imine + H2O  ->  (Z)-omega-(methylsulfanyl)heptyl-thiohydroximate + pyruvate + ammonium // (Z)-1-(L-cystein-S-yl)-N-hydroxy-omega-(methylsulfanyl)butan-1-imine + H2O  ->  (Z)-omega-(methylsulfanyl)butyl-thiohydroximate + pyruvate + ammonium // (Z)-1-(L-cystein-S-yl)-N-hydroxy-2-phenylethan-1-imine + H2O  ->  (Z)-2-phenyl-1-thioacetohydroximate + pyruvate + ammonium + H+ // (Z)-1-(L-cystein-S-yl)-N-hydroxy-2-(4-hydroxyphenyl)ethan-1-imine + H2O  ->  (Z)-N-hydroxy-2-(4-hydroxyphenyl)acetimidothioate + pyruvate + ammonium + H+ // (Z)-1-(L-cystein-S-yl)-N-hydroxy-2-(1H-indol-3-yl)ethan-1-imine + H2O  ->  (Z)-2-(1H-indol-3-yl)-1-thioacetohydroximate + pyruvate + ammonium + H+	EC-4.4.1.13 // EC-2.5.1.48 // EC-3.5.99.10	PMM0408	TX50_RS02195	Cystathionine beta-lyase/cystathionine gamma-synthase
Q7TUD5	PMM0422	a guanosine18 in tRNA + S-adenosyl-L-methionine  ->  a 2'-O-methylguanosine18 in tRNA + S-adenosyl-L-homocysteine + H+	EC-2.1.1.34	PMM0422	TX50_RS02270	RNA methyltransferase
Q7V2P6	PMM0426	a cytosine967 in 16S rRNA + S-adenosyl-L-methionine  ->  a 5-methylcytosine967 in 16S rRNA + S-adenosyl-L-homocysteine + H+	EC-2.1.1.176	PMM0426	TX50_RS02300	16S rRNA (cytosine(967)-C(5))-methyltransferase
Q7V2N3	PMM0441	3,5,7,9,11,13,15-hepta-oxo-hexadecanoyl-[PKS-acp] + NADPH + H+  ->  9-hydroxy-3,5,7,11,13,15-hexaoxohexadecanoyl-[PKS-acp] + NADP+	EC-1.3.1	PMM0441	TX50_RS02375	aldo/keto reductase
Q7V2M6	PMM0449	ATP + a xenobiotic[cytosol] + H2O  ->  ADP + a xenobiotic[periplasm] + phosphate	EC-7.6.2.2	PMM0449	TX50_RS02415	ABC-type multidrug transporter, ATP-binding protein component
Q7V2M5	PMM0450	ATP + a xenobiotic[cytosol] + H2O  ->  ADP + a xenobiotic[periplasm] + phosphate	EC-7.6.2.2	PMM0450	TX50_RS02420	ABC-type multidrug transporter, permease component
Q7V2M0	PMM0455	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine + H2O  =  D-alanine + UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate // N-acetyl-D-glucosaminyl-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanine + H2O  ->  N-acetyl-D-glucosaminyl-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysine + D-alanine // L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine + H2O  ->  L-alanyl-gamma-D-glutamyl-meso-diaminopimelate + D-alanine // a nascent peptidoglycan with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine) tetrapeptide + H2O  ->  a nascent peptidoglycan with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate) tripeptide + D-alanine	EC-3.4.17.13	PMM0455	TX50_RS02450	LD-carboxypeptidase
Q7V2L6	PMM0460	a [prolipoprotein]-L-cysteine + a phosphatidylglycerol  ->  a [prolipoprotein]-S-1,2-diacyl-sn-glyceryl-L-cysteine + sn-glycerol 1-phosphate + H+	EC-2.5.1.145	PMM0460	TX50_RS02475	prolipoprotein diacylglyceryl transferase
Q7V2I7	PMM0489	Fe3+[periplasm] + ATP + H2O  ->  Fe3+[cytosol] + ADP + phosphate + H+	EC-7.2.2.7	PMM0489	TX50_RS02635	ABC-type iron transporter, permease component
Q7V2I5	PMM0491	a 4a-hydroxytetrahydropteridine  ->  a 6,7-dihydropteridine + H2O // 4a-hydroxy-N10-formyltetrahydrofolate  =  an N10-formyl-7,8-dihydrofolate + H2O // 4a-hydroxy-L-erythro-5,6,7,8-tetrahydrobiopterin  ->  (6R)-L-erythro-6,7-dihydrobiopterin + H2O	EC-4.2.1.96	PMM0491	TX50_RS02645	4a-hydroxytetrahydrobiopterin dehydratase
Q7V2I2	PMM0494	diphosphate + H2O  ->  2 phosphate + H+	EC-3.6.1.1	PMM0494	TX50_RS02660	inorganic diphosphatase
Q7V2H4	PMM0503	precorrin-6B + NADP+  <-  precorrin-6A + NADPH + H+ // cobalt-precorrin-6B + NAD+  <-  cobalt-precorrin-6A + NADH	EC-1.3.1.54 // EC-1.3.1.106	PMM0503	TX50_RS02705	precorrin-6A/cobalt-precorrin-6A reductase
Q7V2H2	PMM0505	adenosine + ATP  ->  AMP + ADP + H+	EC-2.7.1.20	PMM0505	TX50_RS02715	adenosine kinase
Q7V2H1	PMM0506	L-aspartate + IMP + GTP  ->  adenylo-succinate + GDP + phosphate + 2 H+	EC-6.3.4.4	PMM0506	TX50_RS02720	adenylosuccinate synthase
Q7TTQ3	PMM0510	a 2'-deoxyribonucleoside 5'-triphosphate + (deoxynucleotides)(n)  ->  (deoxynucleotides)(n+1) + diphosphate	EC-2.7.7.49	PMM0510	TX50_RS02740	Possible Reverse transcriptase (RNA-dependent)
Q7V2G9	PMM0511	diphosphate + H2O  ->  2 phosphate + H+	EC-3.6.1.1	PMM0511	TX50_RS02745	inorganic diphosphatase
Q7V2G6	PMM0514	(S)-dihydroorotate + H2O  <-  N-carbamoyl-L-aspartate + H+	EC-3.5.2.3	PMM0514	TX50_RS02760	dihydroorotase
Q7V2G2	PMM0518	peptidoglycan transpeptidase (Gram-negative bacteria)	EC-3.4.16.4	PMM0518	TX50_RS02780	penicillin-binding protein 2
Q7V2E3	PMM0537	N-(5-phosphoribosyl)-anthranilate  ->  1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate	EC-5.3.1.24	PMM0537	TX50_RS02875	phosphoribosylanthranilate isomerase
Q7V2D2	PMM0548	XTP + H2O  =  XMP + diphosphate + H+	EC-3.6.1.66	PMM0548	TX50_RS02930	Xanthosine triphosphate pyrophosphatase
Q7V2C4	PMM0556	a 4a-hydroxytetrahydropteridine  ->  a 6,7-dihydropteridine + H2O // 4a-hydroxy-N10-formyltetrahydrofolate  =  an N10-formyl-7,8-dihydrofolate + H2O // 4a-hydroxy-L-erythro-5,6,7,8-tetrahydrobiopterin  ->  (6R)-L-erythro-6,7-dihydrobiopterin + H2O	EC-4.2.1.96	PMM0556	TX50_RS02970	4a-hydroxytetrahydrobiopterin dehydratase
Q7V2B9	PMM0561	ATP + a xenobiotic[cytosol] + H2O  ->  ADP + a xenobiotic[periplasm] + phosphate	EC-7.6.2.2	PMM0561	TX50_RS02995	ABC-type multidrug transporter
Q7V293	PMM0590	L-glutamate-5-semialdehyde + NADP+ + phosphate  <-  gamma-L-glutamyl 5-phosphate + NADPH + H+	EC-1.2.1.41	PMM0590	TX50_RS03145	glutamate-5-semialdehyde dehydrogenase
Q7V291	PMM0592	tributyrin + H2O  ->  1,2-dibutyrin + butanoate + H+ // a triacyl-sn-glycerol + H2O  ->  a 1,2-diacyl-sn-glycerol + a fatty acid + H+ // a dietary all-trans-retinyl ester + H2O  ->  all-trans-retinol + a fatty acid + H+	EC-3.1.1.3 // EC-3.1.1.34	PMM0592	TX50_RS03155	lipase
Q7V284	PMM0600	GTP + H2O  ->  GDP + phosphate + H+	EC-3.6.1.15 // EC-3.6.5.6 // EC-3.6.5.5 // EC-3.6.5.4 // EC-3.6.5.3 // EC-3.6.5.2 // EC-3.6.5.1 // EC-3.6.1	PMM0600	TX50_RS03195	Membrane associated GTPase
Q7V282	PMM0602	ATP + Mn2+[periplasm] + H2O  ->  ADP + Mn2+[cytosol] + phosphate + H+	EC-7.2.2.5	PMM0602	TX50_RS03205	ABC-type metal transporter, ATP-binding protein component
Q7V281	PMM0603	ATP + Mn2+[periplasm] + H2O  ->  ADP + Mn2+[cytosol] + phosphate + H+	EC-7.2.2.5	PMM0603	TX50_RS03210	ABC-type metal transporter, permease component
Q7V269	PMM0616	a peptidoglycan dimer with pentapeptide stems (meso-diaminopimelate containing) + H2O  ->  a peptidoglycan dimer with pentapeptide stem (meso-diaminopimelate containing) + L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	EC-3.5.1.28	PMM0616	TX50_RS03275	N-acetylmuramoyl-L-alanine amidase
Q7V256	PMM0630	RX + glutathione  ->  a glutathione-S-conjugate + HX // 3-methylhexane-1,3-diol + glutathione  ->  3-(glutathion-S-yl)-3-methylhexan-1-ol + H2O	EC-2.5.1.18	PMM0630	TX50_RS03345	glutathione S-transferase
Q7TUC3	PMM0642	O-acetyl-L-serine + hydrogen sulfide  ->  L-cysteine + acetate + H+ // O-acetyl-L-serine + hydrogen selenide  ->  L-selenocysteine + acetate + H+ // O-acetyl-L-homoserine + methanethiol  ->  L-methionine + acetate + H+ // O-acetyl-L-homoserine + hydrogen sulfide  ->  L-homocysteine + acetate + H+	EC-2.5.1.47 // EC-2.5.1.49	PMM0642	TX50_RS03405	O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase
Q7V231	PMM0659	[DNA]-3'-hydroxyl + 5'-phospho-[DNA] + NAD+  ->  [DNA] + AMP + beta-nicotinamide D-ribonucleotide + H+ // adenosine-5'-diphospho-5'-[DNA] + [DNA]-3'-hydroxyl  ->  [DNA] + AMP + H+ // a [DNA ligase]-N6-(5'-adenylyl)-L-lysine + 5'-phospho-[DNA] + 2 H+  ->  adenosine-5'-diphospho-5'-[DNA] + a [DNA ligase]-L-lysine // a [DNA ligase]-L-lysine + NAD+  ->  a [DNA ligase]-N6-(5'-adenylyl)-L-lysine + beta-nicotinamide D-ribonucleotide + 2 H+	EC-6.5.1.6 // EC-6.5.1.2	PMM0659	TX50_RS03505	NAD-dependent DNA ligase
Q7V223	PMM0668	a uracil1498 in 16S rRNA + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + an N3-methyluracil1498 in 16S rRNA + H+	EC-2.1.1.193	PMM0668	TX50_RS03555	16S rRNA (uracil(1498)-N(3))-methyltransferase
Q7V221	PMM0670	phenyl acetate + H2O  ->  phenol + acetate + H+ // a phenyl acetate + H2O  ->  a phenol + acetate + H+ // 4-nitrophenyl palmitate + H2O  ->  4-nitrophenol + palmitate + 2 H+ // 4-nitrophenyl butanoate + H2O  ->  4-nitrophenol + butanoate + 2 H+	EC-3.1.1.2	PMM0670	TX50_RS03565	arylesterase
Q7V216	PMM0675	uracil in DNA + H2O  ->  apyrimidinic site in DNA + uracil	EC-3.2.2.27	PMM0675	TX50_RS03590	uracil-DNA glycosylase
Q7V1Z0	PMM0704	K+[periplasm]  ->  K+[cytosol]		PMM0704	TX50_RS03760	potassium channel protein
Q7TUB7	PMM0707	type IV effector protein[in] + ATP + H2O  ->  type IV effector protein[out] + ADP + phosphate + H+		PMM0707	TX50_RS03775	Possible Lipoprotein
Q7TUB5	PMM0720	ATP + RNA(n)  ->  RNA(n+1) + diphosphate	EC-2.7.7.19	PMM0720	TX50_RS03850	Possible Poly A polymerase regulatory subunit
Q7V1X0	PMM0729	[DNA]-3'-hydroxyl + 5'-phospho-[DNA] + ATP  ->  [DNA] + AMP + diphosphate // ATP + a [DNA ligase]-L-lysine  ->  a [DNA ligase]-N6-(5'-adenylyl)-L-lysine + diphosphate + H+ // adenosine-5'-diphospho-5'-[DNA] + [DNA]-3'-hydroxyl  ->  [DNA] + AMP + H+ // a [DNA ligase]-N6-(5'-adenylyl)-L-lysine + 5'-phospho-[DNA] + 2 H+  ->  adenosine-5'-diphospho-5'-[DNA] + a [DNA ligase]-L-lysine	EC-6.5.1.7 // EC-6.5.1.1 // EC-6.5.1.6	PMM0729	TX50_RS03895	ATP-dependent DNA ligase
Q7TUA8	PMM0755	ATP  ->  cyclic-AMP + diphosphate	EC-4.6.1.1	PMM0755	TX50_RS04040	adenylate cyclase
Q7V1U8	PMM0757	D-alanyl-D-alanine + H2O  ->  2 D-alanine	EC-3.4.13.22	PMM0757	TX50_RS04050	D-Ala-D-Ala dipeptidase
Q7V1S9	PMM0776	UMP + diphosphate  <-  5-phospho-alpha-D-ribose 1-diphosphate + uracil	EC-2.4.2.9	PMM0776	TX50_RS04145	uracil phosphoribosyltransferase
Q7TUA5	PMM0814	oxygen[in] + 4 H+[in] + 4 e-[membrane]  ->  2 H2O[in] // oxidized c-type cytochrome[out] + e-[membrane]  ->  reduced c-type cytochrome[out] // 4 reduced c-type cytochrome[out] + 8 H+[in] + oxygen[in]  ->  4 oxidized c-type cytochrome[out] + 4 H+[out] + 2 H2O[in] // vectoral H<SUP>+</SUP> export	EC-7.1.1.9	PMM0814	TX50_RS04350	Possible Cytochrome oxidase c subunit VIb
Q7U396	PMM0820	shikimate 3-phosphate + phosphoenolpyruvate  ->  5-enolpyruvoyl-shikimate 3-phosphate + phosphate	EC-2.5.1.19	PMM0820	TX50_RS04390	putative 3-phosphoshikimate 1-carboxyvinyltransferase
Q7V1P2	PMM0821	L-asparagine + H2O  ->  L-aspartate + ammonium	EC-3.5.1.38 // EC-3.5.1.1	PMM0821	TX50_RS04400	asparaginase
Q7V1N6	PMM0827	ATP + a xenobiotic[cytosol] + H2O  ->  ADP + a xenobiotic[periplasm] + phosphate	EC-7.6.2.2	PMM0827	TX50_RS04430	ABC-type multidrug transporter
Q7V1K9	PMM0856	[2-Cys peroxiredoxin] with reduced L-cysteine residues + an organic hydroperoxide  ->  [2-Cys peroxiredoxin] with hydroxylated L-cysteine + an alcohol // [2-Cys peroxiredoxin] with hydroxylated L-cysteine  ->  [2-Cys peroxiredoxin] with a disulfide bond + H2O // reduced thioredoxin + [2-Cys peroxiredoxin] with a disulfide bond  ->  oxidized thioredoxin + [2-Cys peroxiredoxin] with reduced L-cysteine residues // reduced thioredoxin + an organic hydroperoxide  ->  oxidized thioredoxin + an alcohol + H2O	EC-1.11.1.24	PMM0856	TX50_RS04575	peroxiredoxin
Q7V1K4	PMM0862	a cytidine34 in tRNA + S-adenosyl-L-methionine  ->  a 2'-O-methylcytidine34 in tRNA + S-adenosyl-L-homocysteine + H+ // a 5-carboxymethylaminomethyluridine34 in tRNALeu + S-adenosyl-L-methionine  ->  a 5-carboxymethylaminomethyl-2'-O-methyluridine34 in tRNALeu + S-adenosyl-L-homocysteine + H+	EC-2.1.1.207	PMM0862	TX50_RS04615	tRNA (cytidine(34)-2'-O)-methyltransferase
Q7TU98	PMM0872	methylsalicylate + H2O  ->  salicylate + methanol + H+ // methyl (indol-3-yl)acetate + H2O  ->  (indol-3-yl)acetate + methanol + H+ // all-trans retinyl-ester hydrolase // <em>all</em>-<em>trans</em>-retinyl-palmitate hydrolase // retinyl-palmitate esterase // acibenzolar-<i>S</i>-methyl esterase // a carboxylic ester + H2O  ->  an alcohol + a carboxylate + H+ // (2-hydroxyphenyl)methyl 1-hydroxy-6-oxocyclohex-2-ene-1-carboxylate + H2O  ->  1-hydroxy-6-oxocyclohex-2-ene-1-carboxylate + salicyl alcohol + H+ // (-)-methyl jasmonate + H2O  ->  (-)-jasmonate + methanol + H+	EC-3.1.1.1	PMM0872	TX50_RS04665	Possible Carboxylesterase
Q7V1J6	PMM0874	ATP + ADP + H+  =  P1,P4-bis(5'-adenosyl) tetraphosphate + phosphate	EC-2.7.7.53	PMM0874	TX50_RS04675	ATP adenylyltransferase
Q7TU97	PMM0878	L-valine + 2-oxoglutarate  <-->  L-glutamate + 3-methyl-2-oxobutanoate // L-leucine + 2-oxoglutarate  <-->  L-glutamate + 4-methyl-2-oxopentanoate // L-isoleucine + 2-oxoglutarate  <-  L-glutamate + (S)-3-methyl-2-oxopentanoate	EC-2.6.1.42 // EC-2.6.1.6	PMM0878	TX50_RS04695	branched-chain amino acid transaminase
Q7V1I8	PMM0883	reduced riboflavin + NADP+  =  riboflavin + NADPH + 2 H+ // FMNH2 + NADP+  =  FMN + NADPH + 2 H+ // FMNH2 + NAD+  <-  FMN + NADH + 2 H+ // FMNH2 + NAD(P)+  <-  FMN + NAD(P)H + 2 H+	EC-1.5.1.30 // EC-1.5.1.38 // EC-1.5.1.42 // EC-1.5.1.39	PMM0883	TX50_RS04720	flavin reductase
Q7V1H7	PMM0894	a [protein]-L-proline (omega = 180)  <-->  a [protein]-L-proline (omega = 0)	EC-5.2.1.8	PMM0894	TX50_RS04775	peptidylprolyl isomerase
Q7V1H2	PMM0899	1D-myo-inositol 3-monophosphate + H2O  ->  myo-inositol + phosphate // 1D-myo-inositol 2-monophosphate + H2O  ->  myo-inositol + phosphate // 1D-myo-inositol 1-monophosphate + H2O  ->  myo-inositol + phosphate	EC-3.1.3.25	PMM0899	TX50_RS04805	inositol monophosphatase
Q7V1F9	PMM0914	biotin[periplasm]  ->  biotin[cytosol]		PMM0914	TX50_RS04880	biotin transporter BioY
Q7V1F8	PMM0915	a [prolipoprotein]-S-1,2-diacyl-sn-glyceryl-L-cysteine + H2O  ->  an (S-diacyl-sn-glyceryl)-L-cysteinyl-[apolipoprotein] + a lipoprotein signal peptide	EC-3.4.23.36	PMM0915	TX50_RS04885	signal peptidase II
Q7V1F7	PMM0916	GTP + H2O  ->  GDP + phosphate + H+	EC-3.6.1.15 // EC-3.6.5.6 // EC-3.6.5.5 // EC-3.6.5.4 // EC-3.6.5.3 // EC-3.6.5.2 // EC-3.6.5.1 // EC-3.6.1	PMM0916	TX50_RS04890	Membrane associated GTPase
Q7V1F5	PMM0918	cytidine + H+ + H2O  =  uridine + ammonium // 2'-deoxycytidine + H+ + H2O  =  2'-deoxyuridine + ammonium	EC-3.5.4.5	PMM0918	TX50_RS04900	nucleoside deaminase
